Year,Time,Timem,Yearf,Timef,cTimef
1897,2:55:10,175.17,1966,3:21:40,201.67
1898,2:42:00,162,1967,3:27:17,207.28
1899,2:54:38,174.63,1968,3:30:00,210
1900,2:39:44,159.73,1969,3:22:46,202.77
1901,2:29:23,149.38,1970,3:05:07,185.12
1902,2:43:12,163.2,1971,3:08:30,188.5
1903,2:41:29,161.48,1972,3:10:26,190.43
1904,2:38:04,158.07,1973,3:05:59,185.98
1905,2:38:25,158.42,1974,2:47:11,167.18
1906,2:45:45,165.75,1975,2:42:24,162.4
1907,2:24:24,144.4,1976,2:47:10,167.17
1908,2:25:43,145.72,1977,2:48:33,168.55
1909,2:53:36,173.6,1978,2:44:52,164.87
1910,2:28:52,148.87,1979,2:35:15,155.25
1911,2:21:39,141.65,1980,2:34:28,154.47
1912,2:21:18,141.3,1981,2:26:46,146.77
1913,2:25:14,145.23,1982,2:29:33,149.55
1914,2:25:14,145.23,1983,2:22:43,142.72
1915,2:31:41,151.68,1984,2:29:28,149.47
1916,2:27:16,147.27,1985,2:34:06,154.1
1917,2:28:37,148.62,1986,2:24:55,144.92
1918,2:29:53,149.88,1987,2:25:21,145.35
1919,2:29:13,149.22,1988,2:24:30,144.5
1920,2:29:31,149.52,1989,2:24:33,144.55
1921,2:18:57,138.95,1990,2:25:24,145.4
1922,2:18:10,138.17,1991,2:24:18,144.3
1923,2:23:47,143.78,1992,2:23:43,143.72
1924,2:29:40,149.67,1993,2:25:27,145.45
1925,2:33:00,153,1994,2:21:45,141.75
1926,2:25:40,145.67,1995,2:25:11,145.18
1927,2:40:22,160.37,1996,2:27:12,147.2
1928,2:37:07,157.12,1997,2:26:23,146.38
1929,2:33:08,153.13,1998,2:23:21,143.35
1930,2:34:48,154.8,1999,2:23:25,143.42
1931,2:46:45,166.75,2000,2:26:11,146.18
1932,2:33:36,153.6,2001,2:23:53,143.88
1933,2:31:01,151.02,2002,2:20:43,140.72
1934,2:32:53,152.88,2003,2:25:19,145.32
1935,2:32:07,152.12,2004,2:24:27,144.45
1936,2:33:40,153.67,2005,2:25:12,145.2
1937,2:33:20,153.33,2006,2:23:38,143.63
1938,2:35:34,155.57,2007,2:29:18,149.3
1939,2:28:51,148.85,2008,2:25:25,145.42
1940,2:28:28,148.47,2009,2:32:16,152.27
1941,2:30:38,150.63,2010,2:26:11,146.18
1942,2:26:51,146.85,2011,2:22:36,142.6
1943,2:28:25,148.42,2012,2:31:50,151.83
1944,2:31:50,151.83,2013,2:26:25,146.42
1945,2:30:40,150.67,2014,2:19:59,139.98
1946,2:29:27,149.45,2015,2:24:55,144.92
1947,2:25:39,145.65,2016,2:29:19,149.32
1948,2:31:02,151.03,2017,2:21:52,141.87
1949,2:31:50,151.83,,,
1950,2:32:39,152.65,,,
1951,2:27:45,147.75,,,
1952,2:31:53,151.88,,,
1953,2:18:51,138.85,,,
1954,2:20:39,140.65,,,
1955,2:18:22,138.37,,,
1956,2:14:14,134.23,,,
1957,2:20:05,140.08,,,
1958,2:25:54,145.9,,,
1959,2:22:42,142.7,,,
1960,2:20:54,140.9,,,
1961,2:23:39,143.65,,,
1962,2:23:48,143.8,,,
1963,2:18:58,138.97,,,
1964,2:19:59,139.98,,,
1965,2:16:33,136.55,,,
1966,2:17:11,137.18,,,
1967,2:15:45,135.75,,,
1968,2:22:17,142.28,,,
1969,2:13:49,133.82,,,
1970,2:10:30,130.5,,,
1971,2:18:45,138.75,,,
1972,2:15:39,135.65,,,
1973,2:16:03,136.05,,,
1974,2:13:39,133.65,,,
1975,2:09:55,129.92,,,
1976,2:20:19,140.32,,,
1977,2:14:46,134.77,,,
1978,2:10:13,130.22,,,
1979,2:09:27,129.45,,,
1980,2:12:11,132.18,,,
1981,2:09:26,129.43,,,
1982,2:08:52,128.87,,,
1983,2:09:00,129,,,
1984,2:10:34,130.57,,,
1985,2:14:05,134.08,,,
1986,2:07:51,127.85,,,
1987,2:11:50,131.83,,,
1988,2:08:43,128.72,,,
1989,2:09:06,129.1,,,
1990,2:08:19,128.32,,,
1991,2:11:06,131.1,,,
1992,2:08:14,128.23,,,
1993,2:09:33,129.55,,,
1994,2:07:15,127.25,,,
1995,2:09:22,129.37,,,
1996,2:09:15,129.25,,,
1997,2:10:34,130.57,,,
1998,2:07:34,127.57,,,
1999,2:09:52,129.87,,,
2000,2:09:47,129.78,,,
2001,2:09:43,129.72,,,
2002,2:09:02,129.03,,,
2003,2:10:11,130.18,,,
2004,2:10:37,130.62,,,
2005,2:11:44,131.73,,,
2006,2:07:14,127.23,,,
2007,2:14:13,134.22,,,
2008,2:07:45,127.75,,,
2009,2:08:42,128.7,,,
2010,2:05:52,125.87,,,
2011,2:03:02,123.03,,,
2012,2:12:40,132.67,,,
2013,2:10:22,130.37,,,
2014,2:08:37,128.62,,,
2015,2:09:17,129.28,,,
2016,2:12:45,132.75,,,
2017,2:09:37,129.62,,,